Angle,Intensity
20.005,204
20.015,197
20.025,178
20.035,185
20.045,174
20.055,198
20.065,196
20.075,222
20.085,213
20.095,190
20.105,201
20.115,211
20.125,195
20.135,213
20.145,216
20.155,221
20.165,222
20.175,187
20.185,221
20.195,231
20.205,183
20.215,210
20.225,217
20.235,204
20.245,209
20.255,213
20.265,189
20.275,194
20.285,206
20.295,206
20.305,203
20.315,200
20.325,192
20.335,224
20.345,208
20.355,219
20.365,218
20.375,203
20.385,219
20.395,215
20.405,214
20.415,189
20.425,195
20.435,200
20.445,198
20.455,192
20.465,205
20.475,218
20.485,198
20.495,193
20.505,202
20.515,207
20.525,208
20.535,227
20.545,204
20.555,208
20.565,207
20.575,184
20.585,213
20.595,227
20.605,224
20.615,203
20.625,225
20.635,199
20.645,200
20.655,215
20.665,189
20.675,173
20.685,224
20.695,191
20.705,178
20.715,211
20.725,198
20.735,204
20.745,209
20.755,188
20.765,214
20.775,210
20.785,217
20.795,208
20.805,218
20.815,221
20.825,200
20.835,213
20.845,243
20.855,209
20.865,222
20.875,228
20.885,200
20.895,228
20.905,230
20.915,204
20.925,217
20.935,213
20.945,235
20.955,232
20.965,205
20.975,214
20.985,246
20.995,222
21.005,256
21.015,210
21.025,241
21.035,214
21.045,233
21.055,235
21.065,225
21.075,235
21.085,226
21.095,251
21.105,247
21.115,252
21.125,248
21.135,225
21.145,246
21.155,236
21.165,241
21.175,248
21.185,237
21.195,218
21.205,261
21.215,223
21.225,231
21.235,244
21.245,228
21.255,250
21.265,227
21.275,233
21.285,232
21.295,242
21.305,270
21.315,236
21.325,230
21.335,278
21.345,266
21.355,251
21.365,298
21.375,256
21.385,251
21.395,265
21.405,293
21.415,274
21.425,294
21.435,269
21.445,243
21.455,237
21.465,268
21.475,263
21.485,266
21.495,305
21.505,290
21.515,285
21.525,269
21.535,270
21.545,261
21.555,261
21.565,281
21.575,251
21.585,259
21.595,311
21.605,251
21.615,248
21.625,273
21.635,286
21.645,287
21.655,242
21.665,267
21.675,225
21.685,250
21.695,230
21.705,268
21.715,252
21.725,264
21.735,242
21.745,226
21.755,251
21.765,214
21.775,238
21.785,264
21.795,240
21.805,243
21.815,232
21.825,228
21.835,212
21.845,228
21.855,227
21.865,219
21.875,249
21.885,226
21.895,239
21.905,223
21.915,219
21.925,215
21.935,248
21.945,224
21.955,210
21.965,227
21.975,220
21.985,211
21.995,213
22.005,222
22.015,219
22.025,226
22.035,210
22.045,254
22.055,234
22.065,230
22.075,229
22.085,223
22.095,193
22.105,209
22.115,212
22.125,219
22.135,219
22.145,216
22.155,206
22.165,224
22.175,214
22.185,227
22.195,225
22.205,219
22.215,230
22.225,224
22.235,235
22.245,204
22.255,212
22.265,221
22.275,197
22.285,233
22.295,210
22.305,228
22.315,218
22.325,207
22.335,203
22.345,227
22.355,209
22.365,201
22.375,208
22.385,235
22.395,217
22.405,216
22.415,218
22.425,227
22.435,215
22.445,228
22.455,217
22.465,210
22.475,213
22.485,205
22.495,214
22.505,243
22.515,204
22.525,219
22.535,212
22.545,185
22.555,233
22.565,200
22.575,200
22.585,204
22.595,211
22.605,231
22.615,242
22.625,223
22.635,200
22.645,207
22.655,190
22.665,192
22.675,189
22.685,206
22.695,216
22.705,183
22.715,206
22.725,223
22.735,211
22.745,198
22.755,234
22.765,216
22.775,205
22.785,184
22.795,199
22.805,224
22.815,227
22.825,199
22.835,213
22.845,207
22.855,207
22.865,217
22.875,197
22.885,225
22.895,214
22.905,204
22.915,197
22.925,200
22.935,225
22.945,221
22.955,202
22.965,199
22.975,192
22.985,228
22.995,203
23.005,200
23.015,215
23.025,208
23.035,220
23.045,215
23.055,189
23.065,210
23.075,228
23.085,220
23.095,207
23.105,227
23.115,177
23.125,223
23.135,190
23.145,238
23.155,206
23.165,189
23.175,209
23.185,211
23.195,201
23.205,193
23.215,220
23.225,188
23.235,171
23.245,218
23.255,205
23.265,219
23.275,189
23.285,199
23.295,196
23.305,193
23.315,181
23.325,205
23.335,185
23.345,200
23.355,192
23.365,184
23.375,195
23.385,180
23.395,216
23.405,215
23.415,202
23.425,209
23.435,219
23.445,196
23.455,214
23.465,204
23.475,243
23.485,207
23.495,186
23.505,197
23.515,178
23.525,213
23.535,184
23.545,181
23.555,198
23.565,188
23.575,216
23.585,164
23.595,193
23.605,198
23.615,201
23.625,182
23.635,226
23.645,204
23.655,198
23.665,212
23.675,200
23.685,209
23.695,194
23.705,202
23.715,220
23.725,183
23.735,196
23.745,191
23.755,200
23.765,188
23.775,230
23.785,197
23.795,200
23.805,197
23.815,200
23.825,216
23.835,209
23.845,210
23.855,201
23.865,171
23.875,198
23.885,199
23.895,176
23.905,181
23.915,184
23.925,206
23.935,172
23.945,181
23.955,199
23.965,186
23.975,173
23.985,203
23.995,196
24.005,188
24.015,213
24.025,170
24.035,185
24.045,210
24.055,231
24.065,200
24.075,208
24.085,186
24.095,217
24.105,227
24.115,168
24.125,211
24.135,198
24.145,212
24.155,195
24.165,198
24.175,185
24.185,215
24.195,207
24.205,178
24.215,194
24.225,197
24.235,203
24.245,199
24.255,187
24.265,176
24.275,214
24.285,190
24.295,159
24.305,184
24.315,184
24.325,190
24.335,191
24.345,178
24.355,242
24.365,240
24.375,260
24.385,246
24.395,246
24.405,227
24.415,251
24.425,277
24.435,273
24.445,265
24.455,303
24.465,329
24.475,277
24.485,276
24.495,328
24.505,310
24.515,305
24.525,232
24.535,261
24.545,225
24.555,234
24.565,240
24.575,197
24.585,235
24.595,199
24.605,166
24.615,172
24.625,215
24.635,188
24.645,192
24.655,182
24.665,162
24.675,181
24.685,184
24.695,192
24.705,177
24.715,213
24.725,181
24.735,189
24.745,198
24.755,165
24.765,200
24.775,180
24.785,175
24.795,157
24.805,183
24.815,191
24.825,163
24.835,167
24.845,177
24.855,164
24.865,188
24.875,183
24.885,177
24.895,194
24.905,205
24.915,150
24.925,203
24.935,177
24.945,179
24.955,161
24.965,199
24.975,203
24.985,168
24.995,169
25.005,175
25.015,197
25.025,154
25.035,171
25.045,174
25.055,170
25.065,176
25.075,196
25.085,176
25.095,182
25.105,201
25.115,188
25.125,183
25.135,205
25.145,168
25.155,220
25.165,168
25.175,156
25.185,168
25.195,200
25.205,173
25.215,165
25.225,175
25.235,182
25.245,185
25.255,162
25.265,186
25.275,182
25.285,194
25.295,169
25.305,165
25.315,152
25.325,185
25.335,167
25.345,167
25.355,176
25.365,176
25.375,184
25.385,184
25.395,192
25.405,165
25.415,143
25.425,184
25.435,193
25.445,155
25.455,169
25.465,160
25.475,159
25.485,180
25.495,144
25.505,167
25.515,207
25.525,166
25.535,163
25.545,194
25.555,168
25.565,164
25.575,167
25.585,172
25.595,196
25.605,201
25.615,169
25.625,184
25.635,164
25.645,171
25.655,167
25.665,200
25.675,187
25.685,196
25.695,150
25.705,171
25.715,155
25.725,174
25.735,171
25.745,173
25.755,169
25.765,194
25.775,160
25.785,183
25.795,159
25.805,150
25.815,159
25.825,162
25.835,145
25.845,182
25.855,153
25.865,173
25.875,151
25.885,164
25.895,185
25.905,168
25.915,184
25.925,165
25.935,168
25.945,187
25.955,158
25.965,160
25.975,152
25.985,149
25.995,159
26.005,164
26.015,164
26.025,171
26.035,181
26.045,200
26.055,168
26.065,185
26.075,207
26.085,158
26.095,165
26.105,165
26.115,155
26.125,166
26.135,180
26.145,153
26.155,176
26.165,170
26.175,171
26.185,170
26.195,190
26.205,178
26.215,156
26.225,182
26.235,170
26.245,160
26.255,156
26.265,179
26.275,162
26.285,172
26.295,168
26.305,157
26.315,161
26.325,140
26.335,145
26.345,172
26.355,155
26.365,155
26.375,174
26.385,167
26.395,166
26.405,174
26.415,161
26.425,176
26.435,192
26.445,155
26.455,179
26.465,189
26.475,160
26.485,157
26.495,168
26.505,160
26.515,160
26.525,167
26.535,157
26.545,156
26.555,142
26.565,160
26.575,175
26.585,153
26.595,162
26.605,146
26.615,168
26.625,163
26.635,139
26.645,177
26.655,153
26.665,189
26.675,175
26.685,179
26.695,165
26.705,143
26.715,177
26.725,154
26.735,171
26.745,152
26.755,182
26.765,171
26.775,156
26.785,162
26.795,164
26.805,163
26.815,183
26.825,172
26.835,164
26.845,165
26.855,170
26.865,169
26.875,166
26.885,143
26.895,159
26.905,180
26.915,143
26.925,150
26.935,147
26.945,187
26.955,176
26.965,181
26.975,174
26.985,155
26.995,149
27.005,150
27.015,163
27.025,153
27.035,153
27.045,140
27.055,156
27.065,165
27.075,145
27.085,133
27.095,160
27.105,176
27.115,163
27.125,166
27.135,146
27.145,155
27.155,148
27.165,151
27.175,164
27.185,140
27.195,150
27.205,180
27.215,157
27.225,173
27.235,186
27.245,160
27.255,159
27.265,154
27.275,161
27.285,165
27.295,140
27.305,138
27.315,151
27.325,151
27.335,142
27.345,149
27.355,153
27.365,163
27.375,155
27.385,167
27.395,154
27.405,173
27.415,131
27.425,152
27.435,138
27.445,161
27.455,149
27.465,145
27.475,145
27.485,151
27.495,156
27.505,146
27.515,149
27.525,157
27.535,131
27.545,160
27.555,138
27.565,146
27.575,147
27.585,129
27.595,132
27.605,145
27.615,149
27.625,137
27.635,142
27.645,144
27.655,131
27.665,167
27.675,167
27.685,131
27.695,149
27.705,138
27.715,139
27.725,169
27.735,151
27.745,143
27.755,131
27.765,149
27.775,142
27.785,167
27.795,150
27.805,135
27.815,151
27.825,164
27.835,143
27.845,142
27.855,165
27.865,110
27.875,147
27.885,133
27.895,142
27.905,159
27.915,147
27.925,144
27.935,147
27.945,135
27.955,163
27.965,138
27.975,142
27.985,156
27.995,142
28.005,134
28.015,133
28.025,153
28.035,131
28.045,165
28.055,141
28.065,156
28.075,123
28.085,142
28.095,144
28.105,139
28.115,134
28.125,145
28.135,148
28.145,139
28.155,164
28.165,127
28.175,146
28.185,154
28.195,156
28.205,143
28.215,150
28.225,146
28.235,170
28.245,162
28.255,151
28.265,143
28.275,162
28.285,138
28.295,165
28.305,163
28.315,154
28.325,160
28.335,163
28.345,201
28.355,210
28.365,193
28.375,206
28.385,198
28.395,183
28.405,166
28.415,217
28.425,174
28.435,208
28.445,178
28.455,186
28.465,175
28.475,144
28.485,165
28.495,149
28.505,165
28.515,162
28.525,123
28.535,161
28.545,145
28.555,135
28.565,145
28.575,132
28.585,165
28.595,140
28.605,156
28.615,148
28.625,129
28.635,142
28.645,155
28.655,154
28.665,142
28.675,143
28.685,136
28.695,115
28.705,145
28.715,143
28.725,125
28.735,135
28.745,142
28.755,152
28.765,146
28.775,163
28.785,140
28.795,168
28.805,144
28.815,134
28.825,149
28.835,129
28.845,147
28.855,147
28.865,150
28.875,161
28.885,154
28.895,159
28.905,145
28.915,181
28.925,169
28.935,163
28.945,132
28.955,154
28.965,156
28.975,134
28.985,131
28.995,159
29.005,145
29.015,147
29.025,163
29.035,141
29.045,134
29.055,130
29.065,115
29.075,127
29.085,132
29.095,135
29.105,122
29.115,163
29.125,143
29.135,135
29.145,142
29.155,131
29.165,150
29.175,139
29.185,134
29.195,142
29.205,110
29.215,126
29.225,125
29.235,124
29.245,145
29.255,145
29.265,143
29.275,147
29.285,123
29.295,126
29.305,123
29.315,132
29.325,125
29.335,132
29.345,159
29.355,114
29.365,145
29.375,149
29.385,132
29.395,152
29.405,131
29.415,132
29.425,125
29.435,139
29.445,127
29.455,146
29.465,116
29.475,125
29.485,140
29.495,130
29.505,115
29.515,123
29.525,145
29.535,137
29.545,119
29.555,132
29.565,128
29.575,138
29.585,134
29.595,123
29.605,131
29.615,138
29.625,139
29.635,129
29.645,140
29.655,139
